flight_number,standard_time,estimated_time,location,airline,international,flight_status
SAU721,2023-08-14 10:45:00,"[{""time"": ""2023-08-14 10:45:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:02:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Biratnagar,Saurya Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
SHA733,2023-08-14 10:45:00,"[{""time"": ""2023-08-14 10:45:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:07:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Biratnagar,Shree Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
3U3902,2023-08-14 12:10:00,"[{""time"": ""2023-08-14 12:10:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Tianfu,Sichuan Airlines,t,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-14 11:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 12:15:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-14 12:45:03""}]"
RA401,2023-08-14 13:26:00,"[{""time"": ""2023-08-14 13:26:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Bangkok,Nepal Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
MH171,2023-08-14 13:28:00,"[{""time"": ""2023-08-14 13:28:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Kuala Lumpur,Malaysia Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
QR653,2023-08-14 11:20:00,"[{""time"": ""2023-08-14 11:20:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Doha,Qatar Airways,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-14 11:15:02""}]"
UL182,2023-08-14 13:42:00,"[{""time"": ""2023-08-14 13:42:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Colombo,SriLankan Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
OD181,2023-08-14 21:30:00,"[{""time"": ""2023-08-14 21:30:00"", ""timestamp"": ""2023-08-14 18:45:07""}]",Kuala Lumpur,Batik Air,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-14 18:45:07""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-14 20:45:02""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-14 21:15:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-14 21:45:03""}]"
OV426,2023-08-14 21:30:00,"[{""time"": ""2023-08-14 21:30:00"", ""timestamp"": ""2023-08-14 18:45:07""}]",Muscat,Salam Air,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-14 18:45:07""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-14 20:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 21:15:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-14 21:45:03""}]"
3L044,2023-08-15 01:20:00,"[{""time"": ""2023-08-15 01:20:00"", ""timestamp"": ""2023-08-15 01:45:02""}]",Abu Dhabi,Air Arabia Abu  Dhabi,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 01:45:02""}]"
FZ574,2023-08-15 02:10:00,"[{""time"": ""2023-08-15 02:10:00"", ""timestamp"": ""2023-08-15 02:15:02""}]",Dubai,Flydubai,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 02:15:02""}]"
BHA135,2023-08-14 13:00:00,"[{""time"": ""2023-08-14 13:00:00"", ""timestamp"": ""2023-08-14 13:45:03""}, {""time"": ""2023-08-14 14:07:00"", ""timestamp"": ""2023-08-14 14:45:03""}]",Surkhet,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:45:03""}]"
